EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
53,1,True,5,5,.,short.txt,.txt,86,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:40:46.6397593,2020-12-13 14:42:10.2589887,2020-12-13 14:42:02.0431497,2020-12-13 14:42:10.2589887,2020-12-13 14:42:10.2599911,2020-12-13 14:42:10.2589887,2020-12-13 14:53:39.6239436,2020-12-13 14:42:10.2589887,23456,2188330,266,,,
54,1,True,5,5,.,looooooooooooooooooooooooooooooooooooongfilename.txt,.txt,85,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:41:11.8171648,2020-12-13 14:42:10.2669892,2020-12-13 14:41:53.3733653,2020-12-13 14:42:10.2669892,2020-12-13 14:42:10.2669892,,2020-12-13 14:53:39.6239436,2020-12-13 14:42:10.2669892,24040,2188364,266,,,
55,1,True,5,5,.,This file was created on VHDX.txt,.txt,0,1,,False,False,False,False,False,False,Archive,Posix,2020-12-13 14:42:21.7518818,,2020-12-13 14:42:21.7518818,,2020-12-13 14:42:26.8840664,2020-12-13 14:42:21.7518818,2020-12-13 14:42:21.7518818,,24704,2149638,266,,,
56,1,True,5,5,.,"This file was created on VHDX, and renamed shortly thereafter ! this is a file rename test.txt",.txt,0,1,,False,False,False,False,False,False,Archive,Posix,2020-12-13 14:42:30.8939829,,2020-12-13 14:42:30.8939829,,2020-12-13 14:43:07.4448910,2020-12-13 14:42:39.8798890,2020-12-13 14:42:30.8939829,,25968,2151736,266,,,
57,1,True,60,1,.\$RECYCLE.BIN\S-1-5-21-2507465465-2372827616-1507098901-1001,$RHRUK0Y.txt,.txt,26,1,,False,False,False,False,False,False,Archive,Posix,2020-12-13 14:43:18.4064036,,2020-12-13 14:43:44.8357300,,2020-12-13 14:43:52.5554217,2020-12-13 14:43:44.8357300,2020-12-13 14:43:52.5544233,2020-12-13 14:43:44.8357300,30008,2159915,271,550492f3-3d51-11eb-9a81-9c5c8ebbb369,,
59,1,True,5,5,.,$RECYCLE.BIN,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2020-12-13 14:43:52.5374246,,2020-12-13 14:43:52.5374246,,2020-12-13 14:43:52.5374246,,2020-12-13 14:43:56.2395888,2020-12-13 14:43:52.5374246,27944,2188398,268,,,
60,1,True,59,1,.\$RECYCLE.BIN,S-1-5-21-2507465465-2372827616-1507098901-1001,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2020-12-13 14:43:52.5374246,,2020-12-13 14:43:52.5544233,2020-12-13 14:43:52.5374246,2020-12-13 14:43:52.5544233,2020-12-13 14:43:52.5374246,2020-12-13 14:43:56.2395888,2020-12-13 14:43:52.5374246,28488,2188432,269,,,
61,1,True,60,1,.\$RECYCLE.BIN\S-1-5-21-2507465465-2372827616-1507098901-1001,desktop.ini,.ini,129,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2020-12-13 14:43:52.5384228,,2020-12-13 14:43:52.5414240,2020-12-13 14:43:52.5384228,2020-12-13 14:43:52.5414240,2020-12-13 14:43:52.5384228,2020-12-13 14:43:52.5434250,2020-12-13 14:43:52.5384228,29200,2188466,270,,,
62,1,True,60,1,.\$RECYCLE.BIN\S-1-5-21-2507465465-2372827616-1507098901-1001,$IHRUK0Y.txt,.txt,162,1,,False,False,False,False,False,False,Archive,Posix,2020-12-13 14:43:52.5534245,,2020-12-13 14:43:52.5534245,,2020-12-13 14:43:52.5534245,,2020-12-13 14:43:52.5534245,,29464,2158912,270,,,
63,3,True,5,5,.,sdelete cmd output.txt,.txt,1263,1,,False,False,False,False,False,False,Archive,Posix,2020-12-13 14:45:41.1640989,,2020-12-13 14:46:20.7708051,2020-12-13 14:45:41.1640989,2020-12-13 14:46:20.7708051,2020-12-13 14:45:41.1640989,2020-12-13 14:53:39.6229454,2020-12-13 14:45:41.1640989,40960,2188500,266,5504a2e4-3d51-11eb-9a81-9c5c8ebbb369,,
64,1,True,5,5,.,Image files.txt,.txt,918,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:50:23.4852529,2020-12-13 14:53:20.0743238,2020-12-13 14:52:33.4478487,2020-12-13 14:53:20.0743238,2020-12-13 14:53:20.0753246,2020-12-13 14:53:20.0743238,2020-12-13 14:53:39.6219436,2020-12-13 14:53:20.0743238,41352,2188534,266,,,
65,1,True,5,5,.,This image is a modified version of Image.png (1).png,.png,165753,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:47:03.2844725,2020-12-13 14:53:20.0903220,2020-12-13 14:48:58.9682149,2020-12-13 14:53:20.0903220,2020-12-13 14:53:20.0913218,2020-12-13 14:53:20.0903220,2020-12-13 14:53:39.6949452,2020-12-13 14:53:20.0903220,41952,2188568,266,,,
66,1,True,5,5,.,This image is a modified version of Image.png (2).png,.png,165766,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:47:03.2844725,2020-12-13 14:53:20.0983249,2020-12-13 14:48:46.3449683,2020-12-13 14:53:20.0983249,2020-12-13 14:53:20.0983249,,2020-12-13 14:53:39.6949452,2020-12-13 14:53:20.0983249,42624,2188602,266,,,
67,1,True,5,5,.,This image is a modified version of Image.png (3).png,.png,165788,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:47:03.2844725,2020-12-13 14:53:20.1053227,2020-12-13 14:48:28.3260049,2020-12-13 14:53:20.1053227,2020-12-13 14:53:20.1063254,2020-12-13 14:53:20.1053227,2020-12-13 14:53:39.6949452,2020-12-13 14:53:20.1053227,43296,2188636,266,,,
68,1,True,5,5,.,This image is a modified version of Image.png (4).png,.png,165812,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:47:03.2844725,2020-12-13 14:53:20.1123225,2020-12-13 14:48:11.9782192,2020-12-13 14:53:20.1123225,2020-12-13 14:53:20.1133216,2020-12-13 14:53:20.1123225,2020-12-13 14:53:39.6949452,2020-12-13 14:53:20.1123225,43968,2188670,266,,,
69,1,True,5,5,.,This is an unmodified version of this image.png,.png,176506,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:47:03.2844725,2020-12-13 14:53:20.1163228,2020-12-13 14:47:03.3464707,2020-12-13 14:53:20.1163228,2020-12-13 14:53:20.1163228,,2020-12-13 14:53:39.6949452,2020-12-13 14:53:20.1163228,44616,2188704,266,,,
70,2,True,5,5,.,"This file was created on Computer A, copied to VHDX, then overwritten with a file of the same name with new added contents.txt",.txt,138,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:53:47.1080553,2020-12-13 14:56:19.7248881,2020-12-13 14:54:46.1485129,2020-12-13 14:56:19.7248881,2020-12-13 14:56:19.7258892,2020-12-13 14:56:19.7248881,2020-12-13 14:54:46.1485129,2020-12-13 14:56:19.7248881,47552,2187744,266,,,
